employee_id,age,gender,role,experience_years,salary,projects_assigned,certifications,remote,overtime_hours,satisfaction_level,performance_score,training_hours,left_company
1,38,Female,Product Manager,5,2865.9,3,2,1,8.6,0.31,50.0,30,1
2,33,Male,QA Engineer,2,2474.8,4,0,1,19.5,0.37,50.0,19,1
3,40,Male,QA Engineer,4,2693.8,4,1,1,10.1,0.32,50.0,50,0
4,47,Female,QA Engineer,5,3135.61,5,4,0,3.2,0.2,50.0,5,0
5,33,Female,Data Engineer,4,2402.78,2,1,0,0.0,0.22,50.0,34,0
6,33,Female,Data Analyst,2,2668.71,2,0,1,0.0,0.45,50.0,0,0
7,47,Female,Product Manager,8,2804.69,2,3,0,6.8,0.24,50.0,13,0
8,41,Male,Data Analyst,9,2825.87,5,1,0,7.1,0.26,50.0,22,0
9,31,Male,DevOps,2,2523.59,1,1,1,13.9,0.34,50.0,61,0
10,39,Female,Security Analyst,8,2645.39,5,3,0,19.1,0.18,50.0,53,0
11,31,Female,SysAdmin,4,2540.08,1,2,1,12.5,0.4,50.0,28,0
12,31,Male,Developer,2,2789.74,2,1,0,6.0,0.22,50.0,54,0
13,36,Male,Product Manager,6,2558.86,4,0,0,14.3,0.18,50.0,57,0
14,22,Female,Security Analyst,0,2450.64,3,1,1,13.7,0.36,50.0,36,0
15,22,Male,Data Analyst,0,2793.67,4,2,0,17.6,0.14,50.0,12,0
16,30,Female,DevOps,2,2944.36,3,2,1,3.7,0.45,50.0,35,0
17,26,Female,SysAdmin,1,2925.86,2,1,0,13.7,0.11,50.0,38,0
18,37,Male,DevOps,8,2630.5,5,1,0,14.2,0.12,50.0,15,0
19,27,Female,Developer,2,2664.45,3,1,1,8.4,0.42,50.0,47,0
20,23,Male,DevOps,0,2567.45,3,1,1,0.5,0.49,50.0,45,0
21,46,Female,DevOps,11,2452.57,1,0,0,10.3,0.21,50.0,48,0
22,33,Male,Security Analyst,4,2715.0,4,1,0,4.7,0.2,50.0,45,1
23,35,Female,QA Engineer,5,2683.08,3,3,0,16.3,0.15,50.0,54,1
24,23,Male,Developer,0,2730.0,3,1,0,9.1,0.13,50.0,36,0
25,30,Male,Security Analyst,3,2672.5,1,2,1,10.2,0.4,50.0,44,0
26,35,Male,Product Manager,6,2302.35,3,0,0,7.4,0.16,50.0,32,0
