tenure_months,salary_usd,avg_weekly_hours,trainings_completed,tickets_per_month,job_satisfaction,left_company
30,42900,40.6,5,41,3,0
19,40900,42.9,5,30,4,0
42,46200,49.8,4,36,2,0
38,46100,43.2,3,52,1,0
43,46800,40.4,3,37,2,0
31,46400,37.1,0,39,3,1
36,48300,48.0,5,40,3,0
46,46600,44.7,3,35,3,0
39,43900,48.3,4,43,3,1
29,43600,42.9,3,31,5,0
46,48600,44.0,2,39,3,0
41,44600,40.2,2,39,4,0
36,47600,37.4,3,27,3,0
31,48200,46.7,5,45,3,0
48,45300,40.7,3,47,2,0
29,44500,40.4,2,34,3,0
35,42200,42.6,3,37,3,0
36,49000,42.4,4,45,3,0
47,46900,44.1,4,32,4,0
37,46800,42.7,2,41,4,0
36,42700,48.3,3,45,5,0
52,45300,42.4,2,44,1,1
49,47400,36.1,3,39,1,0
35,41400,45.2,6,39,3,1
33,46100,43.3,2,33,4,0
29,45500,41.4,3,36,3,0
25,40600,44.8,5,26,5,0
31,42800,45.9,5,42,5,0
42,46900,45.4,3,39,3,0
47,43700,38.3,4,37,4,0
36,45100,45.6,5,35,3,0
37,44300,46.5,3,34,4,0
39,43800,45.3,4,42,3,0
38,46600,44.0,4,45,4,0
68,48900,40.7,3,50,3,1
32,41500,38.8,3,38,4,0
28,50600,40.2,2,44,2,0
26,45100,46.1,6,40,3,0
40,47200,38.4,2,39,2,1
22,41300,46.1,5,22,5,0
46,44700,38.9,3,44,2,0
48,42600,41.5,3,49,3,0
7,43100,45.3,4,25,5,0
37,40300,42.0,3,30,2,1
40,43600,46.6,2,49,3,0
27,39700,48.9,5,41,4,0
37,44900,44.8,3,41,3,0
21,39100,51.5,4,44,5,0
40,44100,45.5,3,39,3,0
33,44600,43.7,4,44,4,0
45,46300,40.2,3,47,2,0
29,41400,46.9,5,38,5,0
21,42000,40.9,3,40,4,1
46,43200,42.5,4,39,4,0
48,47500,41.0,3,52,2,0
33,46700,45.3,3,43,3,0
48,45400,41.9,2,45,2,0
33,43300,43.8,4,37,2,1
40,47700,38.0,4,46,2,1
32,46000,45.0,3,43,2,0
25,44000,38.2,3,35,4,0
36,44300,43.8,3,39,4,0
15,39600,42.9,3,41,5,1
19,38500,51.0,5,28,4,1
38,47700,36.2,4,45,2,0
41,50200,35.7,3,39,2,1
55,46200,32.5,1,42,1,1
39,44100,41.2,4,37,2,0
44,41400,43.0,2,39,3,0
28,44400,43.6,4,47,4,0
18,40600,40.5,5,28,5,0
37,43700,40.4,0,45,1,1
24,45600,38.1,2,47,3,0
60,45700,38.5,1,46,1,0
45,46400,38.6,0,44,1,0
35,45100,38.8,3,34,2,1
32,49100,46.5,3,43,3,0
45,47500,40.2,2,42,3,0
53,44700,46.9,1,40,2,0
14,44900,45.2,5,39,5,0
36,46800,44.7,4,36,1,0
50,45100,41.3,4,51,3,0
37,42000,43.0,4,46,3,1
54,44900,40.4,5,49,1,0
40,47500,43.5,2,41,2,1
39,43900,44.7,3,37,3,0
40,42100,44.9,5,39,3,0
48,44800,42.7,1,36,2,0
28,43900,47.5,2,43,3,0
38,48900,41.2,2,40,2,0
33,39800,44.6,6,39,2,0
29,43400,44.7,3,40,4,0
23,41100,44.6,4,36,4,0
28,45300,40.1,5,42,3,0
30,42400,48.9,4,27,3,0
20,44700,37.2,1,38,3,0
31,46400,39.0,4,32,3,0
24,41400,36.7,2,32,4,0
28,44100,47.0,4,39,4,0
29,42600,47.7,4,36,4,0
36,43400,43.7,6,43,4,0
46,50700,41.7,4,40,2,0
35,42100,44.4,4,51,4,0
32,47400,41.9,4,37,5,0
26,42900,47.9,5,31,5,0
47,46800,34.7,0,41,1,0
38,44100,46.9,3,31,4,0
49,43000,46.6,4,41,1,0
31,42600,36.6,3,46,3,0
8,39300,47.8,6,30,5,0
45,45700,43.3,2,43,2,1
26,49800,36.1,3,29,2,0
53,46200,44.7,3,36,3,1
28,40500,42.5,2,35,5,0
48,48700,37.9,1,43,2,0
36,47400,37.3,2,35,3,0
40,43100,46.3,4,45,3,0
60,47700,44.4,4,39,2,0
59,47800,32.8,0,44,2,0
